atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,SG1,Cluster22,Medoid,df_AbioticsDistance,136242.241002325
AtLeastIn1,SG1,Cluster23,Ward,df_LatDephtDistance,153262.692130027
AtLeastIn1,SG1,Cluster23,Ward,df_AbioticsDistance,145861.06061849
AtLeastIn1,SG1,Cluster23,Medoid,df_LatDephtDistance,122172.811805945
AtLeastIn1,SG1,Cluster23,Medoid,df_AbioticsDistance,114733.031490442
AtLeastIn1,SG1,Cluster24,Ward,df_LatDephtDistance,135243.829451508
AtLeastIn1,SG1,Cluster24,Ward,df_AbioticsDistance,127775.403040608
AtLeastIn1,SG1,Cluster24,Medoid,df_LatDephtDistance,120087.233972588
AtLeastIn1,SG1,Cluster24,Medoid,df_AbioticsDistance,113843.657024498
AtLeastIn1,SG1,Cluster25,Ward,df_LatDephtDistance,130178.29841361
AtLeastIn1,SG1,Cluster25,Ward,df_AbioticsDistance,122806.826891583
AtLeastIn1,SG1,Cluster25,Medoid,df_LatDephtDistance,116307.7725305
AtLeastIn1,SG1,Cluster25,Medoid,df_AbioticsDistance,110396.56263196
AtLeastIn1,SG1,Cluster26,Ward,df_LatDephtDistance,130043.986636615
AtLeastIn1,SG1,Cluster26,Ward,df_AbioticsDistance,122727.255970525
AtLeastIn1,SG1,Cluster26,Medoid,df_LatDephtDistance,119525.450710016
AtLeastIn1,SG1,Cluster26,Medoid,df_AbioticsDistance,113988.860368511
AtLeastIn1,SG1,Cluster27,Ward,df_LatDephtDistance,115259.41232452
AtLeastIn1,SG1,Cluster27,Ward,df_AbioticsDistance,107885.217174186
AtLeastIn1,SG1,Cluster27,Medoid,df_LatDephtDistance,107685.233323001
AtLeastIn1,SG1,Cluster27,Medoid,df_AbioticsDistance,102174.530594657
AtLeastIn1,SG1,Cluster28,Ward,df_LatDephtDistance,112592.745765923
AtLeastIn1,SG1,Cluster28,Ward,df_AbioticsDistance,106794.754524154
AtLeastIn1,SG1,Cluster28,Medoid,df_LatDephtDistance,96305.9504162081
AtLeastIn1,SG1,Cluster28,Medoid,df_AbioticsDistance,90804.7781699421
AtLeastIn1,SG1,Cluster29,Ward,df_LatDephtDistance,110760.473381141
AtLeastIn1,SG1,Cluster29,Ward,df_AbioticsDistance,105185.214634913
AtLeastIn1,SG1,Cluster29,Medoid,df_LatDephtDistance,95756.1501302378
AtLeastIn1,SG1,Cluster29,Medoid,df_AbioticsDistance,90327.9035790031
AtLeastIn1,SG1,Cluster30,Ward,df_LatDephtDistance,103108.391275075
AtLeastIn1,SG1,Cluster30,Ward,df_AbioticsDistance,97507.6635520807
AtLeastIn1,SG1,Cluster30,Medoid,df_LatDephtDistance,94427.6874451823
AtLeastIn1,SG1,Cluster30,Medoid,df_AbioticsDistance,89329.1291431534
AtLeastIn1,SG1,Cluster31,Ward,df_LatDephtDistance,99783.1659870971
AtLeastIn1,SG1,Cluster31,Ward,df_AbioticsDistance,94739.8152454446
AtLeastIn1,SG1,Cluster31,Medoid,df_LatDephtDistance,101559.01274024
AtLeastIn1,SG1,Cluster31,Medoid,df_AbioticsDistance,96732.3897998069
AtLeastIn1,SG1,Cluster32,Ward,df_LatDephtDistance,98452.5420154653
AtLeastIn1,SG1,Cluster32,Ward,df_AbioticsDistance,93701.7065204017
AtLeastIn1,SG1,Cluster32,Medoid,df_LatDephtDistance,89515.4485849001
AtLeastIn1,SG1,Cluster32,Medoid,df_AbioticsDistance,84879.9970509406
AtLeastIn1,SG1,Cluster33,Ward,df_LatDephtDistance,96427.4960686226
AtLeastIn1,SG1,Cluster33,Ward,df_AbioticsDistance,91784.5735480438
AtLeastIn1,SG1,Cluster33,Medoid,df_LatDephtDistance,90620.4291907477
AtLeastIn1,SG1,Cluster33,Medoid,df_AbioticsDistance,86250.203083488
AtLeastIn1,SG1,Cluster34,Ward,df_LatDephtDistance,92854.4309388209
AtLeastIn1,SG1,Cluster34,Ward,df_AbioticsDistance,88290.5569709513
